City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Dennis,US,78.75,overcast clouds,41.7354,-70.1939,Sesuit Harbor House
564,Phayakkhaphum Phisai,TH,84.72,few clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
566,Wadi Maliz,TN,81.97,clear sky,36.4681,8.5495,Heremony
567,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
569,Udachnyy,RU,75.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
570,Besuki,ID,80.8,broken clouds,-7.7338,113.6979,Pak Pri House
571,Matara,LK,77.59,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
572,Adeje,ES,87.87,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
573,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
574,Alenquer,BR,75.78,clear sky,-1.9417,-54.7383,Detinha Hotel
578,Nuevitas,CU,79.75,overcast clouds,21.5453,-77.2644,Hotel Caonaba
580,Azoyu,MX,76.5,overcast clouds,16.7167,-98.7333,
581,Kismayo,SO,75.47,overcast clouds,-0.3582,42.5454,Agan-Hotel
589,Fairbanks,US,78.1,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
598,Vitim,RU,84.88,clear sky,59.4511,112.5578,Gostinitsa V Apteke
599,Kieta,PG,82.94,light rain,-6.2167,155.6333,Uruna Bay Retreat
603,Gazli,UZ,84.78,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
611,Sheridan,US,84.02,clear sky,44.8333,-106.9173,Comfort Inn & Suites
612,Keti Bandar,PK,82.17,broken clouds,24.1447,67.4497,Haji laloo memon house
614,Russell,US,82.0,scattered clouds,32.3502,-85.1999,Macs
616,Buctzotz,MX,81.91,scattered clouds,21.2,-88.7833,Buctoztz
618,Kassala,SD,79.38,overcast clouds,15.451,36.4,Amassi Hotel Gash
628,Sinjai,ID,79.88,broken clouds,-5.1241,120.253,Wisma Sandika
629,Poso,ID,83.52,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
631,Saint Simons,US,85.01,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
635,Bambanglipuro,ID,75.15,overcast clouds,-7.95,110.2833,Puri Brata
636,Riyadh,SA,89.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
637,Pringsewu,ID,75.9,overcast clouds,-5.3582,104.9744,Urban Style by Front One
640,Berbera,SO,88.97,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
646,Moussoro,TD,88.48,overcast clouds,13.6408,16.4901,Hôtel Salama
648,Hamilton,US,77.4,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
650,Kupang,ID,80.76,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
652,Luganville,VU,82.89,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
653,Kodinar,IN,80.96,light rain,20.7903,70.7031,residency of N.B vadhel
657,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
660,Srivardhan,IN,78.98,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
663,Quesnel,CA,79.3,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
669,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
677,Nyurba,RU,80.73,clear sky,63.2842,118.3319,"Гостиница ""Comfort"""
678,Ndioum,SN,82.58,moderate rain,16.5129,-14.6471,l'hôtel samassa
681,Natchez,US,80.82,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
682,Wanning,CN,84.4,clear sky,18.8003,110.3967,Paradise Hotel
