City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
141,Nikolskoye,RU,59.7035,30.7861,60.87,92,73,2.08,broken clouds,2022-07-26 01:19:14
142,Butaritari,KI,3.0707,172.7902,82.62,69,98,15.66,overcast clouds,2022-07-26 01:19:14
143,Nantucket,US,41.2835,-70.0995,80.71,93,100,18.41,mist,2022-07-26 01:16:58
144,Constitucion,CL,-35.3333,-72.4167,53.13,92,100,20.74,moderate rain,2022-07-26 01:16:47
145,Namie,JP,37.4833,141.0,88.56,88,99,4.38,overcast clouds,2022-07-26 01:19:15
146,Awbari,LY,26.5921,12.7805,78.96,25,0,7.52,clear sky,2022-07-26 01:19:15
147,Arraial Do Cabo,BR,-22.9661,-42.0278,70.65,88,6,19.48,clear sky,2022-07-26 01:19:16
148,Matai,TZ,-8.3,31.5167,56.77,72,71,8.01,broken clouds,2022-07-26 01:19:16
149,Kahuta,PK,33.5913,73.3868,74.84,81,79,3.8,broken clouds,2022-07-26 01:19:17
150,Keuruu,FI,62.2667,24.7,64.58,92,100,9.91,overcast clouds,2022-07-26 01:19:17
151,Plettenberg Bay,ZA,-34.0527,23.3716,54.63,58,0,6.31,clear sky,2022-07-26 01:19:17
152,Codrington,AU,-38.2667,141.9667,53.11,61,80,22.97,broken clouds,2022-07-26 01:19:18
153,Kodiak,US,57.79,-152.4072,62.11,59,75,13.8,broken clouds,2022-07-26 01:19:18
154,Ozinki,RU,51.1786,49.6769,62.37,85,56,5.41,broken clouds,2022-07-26 01:19:18
155,Guerrero Negro,MX,27.9769,-114.0611,73.15,70,4,16.51,clear sky,2022-07-26 01:16:07
156,Ribeira Grande,PT,38.5167,-28.7,74.52,89,10,5.06,clear sky,2022-07-26 01:19:19
157,Kukuna,SL,9.4,-12.6667,72.54,97,100,2.86,overcast clouds,2022-07-26 01:19:19
158,Hilo,US,19.7297,-155.09,88.29,92,75,8.05,heavy intensity rain,2022-07-26 01:16:46
159,Quatre Cocos,MU,-20.2078,57.7625,67.08,77,16,9.42,few clouds,2022-07-26 01:15:28
160,Naze,JP,28.3667,129.4833,85.12,73,19,4.88,few clouds,2022-07-26 01:15:52
161,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.59,45,96,0.87,overcast clouds,2022-07-26 01:17:22
162,Cherskiy,RU,68.75,161.3,56.3,40,100,12.59,overcast clouds,2022-07-26 01:19:20
163,Talnakh,RU,69.4865,88.3972,60.21,64,33,6.46,scattered clouds,2022-07-26 01:19:21
164,Liku,ID,-0.7275,119.8922,83.16,65,98,2.42,overcast clouds,2022-07-26 01:19:21
165,Mastic Beach,US,40.7668,-72.8521,79.05,88,0,18.01,clear sky,2022-07-26 01:19:21
166,Libenge,CD,3.65,18.6333,70.88,96,100,5.01,light rain,2022-07-26 01:14:56
167,Hornepayne,CA,49.2138,-84.7705,60.37,69,89,2.08,overcast clouds,2022-07-26 01:19:22
168,Taseyevo,RU,57.2169,94.8978,57.81,77,100,8.21,overcast clouds,2022-07-26 01:19:22
169,Hasanabad,IR,36.5465,61.0543,82.42,39,0,33.78,clear sky,2022-07-26 01:19:23
170,Sisimiut,GL,66.9395,-53.6735,42.35,92,100,9.55,overcast clouds,2022-07-26 01:19:23
171,Paamiut,GL,61.994,-49.6678,43.88,92,100,4.12,overcast clouds,2022-07-26 01:19:23
172,Iqaluit,CA,63.7506,-68.5145,44.33,93,20,6.91,few clouds,2022-07-26 01:19:24
173,Husavik,IS,66.0449,-17.3389,48.97,83,100,1.23,overcast clouds,2022-07-26 01:19:24
174,Shushtar,IR,32.0455,48.8567,89.53,11,1,3.49,clear sky,2022-07-26 01:19:25
175,Rudnogorsk,RU,57.2639,103.7519,57.87,98,100,9.4,light rain,2022-07-26 01:19:25
176,Talcahuano,CL,-36.7167,-73.1167,55.08,94,75,27.63,broken clouds,2022-07-26 01:18:17
